osmid,lat,lon
13059159519,37.5882936,127.0707385
13059159520,37.5880939,127.0708082
13059159521,37.5876774,127.0710282
13059159522,37.5872524,127.071275
13059159523,37.5869294,127.0715218
13059159524,37.5866319,127.071774
13059159525,37.5861635,127.0720956
13059159526,37.5857173,127.0724282
13059159527,37.5852795,127.0728038
13059159528,37.5846675,127.0733188
13059159529,37.584387,127.0735334
13059159530,37.5931771,127.0684865
13059159531,37.59326,127.0688567
13059159532,37.5932536,127.068964
13059159533,37.5933535,127.0694522
13059159534,37.5933046,127.0694951
13059159535,37.593345,127.0696105
13059159536,37.5935681,127.0695246
13059159537,37.593566,127.0694844
13059159538,37.5934321,127.0695219
13059159539,37.5934492,127.0696131
13059159540,37.6024704,127.0712537
13059159541,37.6024874,127.0714361
13059159542,37.6025257,127.0717097
13059159543,37.6028061,127.0716614
13059159544,37.6028018,127.0717473
13059159545,37.6024534,127.0717848
13059159546,37.6021135,127.0719082
13059159547,37.6021305,127.0719512
13059159548,37.5982223,127.0687213
13059159549,37.5980863,127.0690539
13059159550,37.5980311,127.0692149
13059159551,37.5982308,127.0693705
13059159552,37.5982138,127.069408
13059159553,37.5980693,127.0693061
13059159554,37.5978484,127.0691612
13059159555,37.5838029,127.0729485
13059159556,37.583956,127.0734099
13059159557,37.5841389,127.0737533
13059159558,37.5843218,127.0736084
13059159559,37.5843346,127.0736513
13059159560,37.5841304,127.0738016
13059159561,37.5839816,127.0739196
13059159562,37.5838114,127.0740108
13059159563,37.5835308,127.074263
13059159564,37.5830885,127.0746171
13059159565,37.5827184,127.0749121
13059159566,37.5825663,127.0750943
13059159567,37.5822856,127.0753196
13059159568,37.5819539,127.0756093
13059159569,37.5815966,127.0758883
13059159570,37.5812734,127.0761727
13059159571,37.5810267,127.0763605
13059159572,37.5806779,127.0765697
13059159573,37.5802356,127.0768165
13059159574,37.5799081,127.0769345
13059159575,37.5802782,127.0764248
13059159576,37.5803079,127.0769131
13059159577,37.5799464,127.0771116
13059159578,37.5799422,127.077074
13059159579,37.5801633,127.0769131
13059159580,37.5794898,127.0770524
13059159581,37.5788777,127.0771328
13059159582,37.5782572,127.0771865
13059159583,37.5774623,127.0772616
13059159584,37.5765476,127.0773743
13059159585,37.5756078,127.0774816
13059159586,37.5750042,127.0771006
13059159587,37.5750212,127.0774708
13059159588,37.5752932,127.0774494
13059159589,37.5753017,127.0774869
13059159590,37.5749702,127.0775084
13059159591,37.5747152,127.0775781
13059159592,37.5740138,127.0776425
13059159593,37.5735373,127.0777123
13059159594,37.5729082,127.0777552
13059159595,37.5722919,127.0777444
13059159596,37.5712845,127.07768
13059159597,37.5711187,127.0777015
13059159598,37.5706766,127.0775674
13059159599,37.5701538,127.0773528
13059159600,37.5697075,127.0771328
13059159601,37.5693164,127.0769289
13059159602,37.569243,127.0768753
13059159603,37.5689879,127.0764354
13059159604,37.5683503,127.0760706
13059159605,37.5674274,127.0755449
13059159606,37.566981,127.0753196
13059159607,37.5663816,127.075003
13059159608,37.5664582,127.0749923
13059159609,37.5667642,127.0747401
13059159610,37.566896,127.0743002
13059159611,37.5666494,127.0750406
13059159612,37.5668237,127.0751586
13059159613,37.5668152,127.0752176
13059159614,37.5659568,127.0747082
13059159615,37.5653149,127.074338
13059159616,37.564826,127.0740483
13059159617,37.5645965,127.073957
13059159618,37.5643839,127.0738819
13059159619,37.5638908,127.0736029
13059159620,37.5633806,127.0732757
13059159621,37.562913,127.0730074
13059159622,37.5623986,127.0727284
13059159623,37.5619267,127.0724763
13059159624,37.5614786,127.0722458
13059159625,37.5613213,127.072176
13059159626,37.5611342,127.0719829
13059159627,37.5933096,127.0677826
13059159628,37.5933478,127.0680723
13059159629,37.5934838,127.0680186
13059159630,37.5935815,127.0680347
13059159631,37.5936793,127.0679167
13059159632,37.5937983,127.0679221
13059159633,37.5775085,127.0720044
13059159634,37.5775085,127.0717415
13059159635,37.5775978,127.0714679
13059159636,37.5777508,127.071441
13059159637,37.577823,127.0713498
13059159638,37.5780143,127.0713498
13059159639,37.5782141,127.0713927
13059159640,37.5777763,127.071205
13059159641,37.5775678,127.0712534
13059159642,37.5774913,127.07135
13059159643,37.5773637,127.07135
13059159644,37.5773552,127.0716934
13059159645,37.577368,127.0711515
