u,v,key,length,highway,name,coordinates,가로수
436761387,2135060914,0,480.7488075774327,trunk_link,내부순환로마장진출램프(내선),"[[127.035033, 37.5721111], [127.0350088, 37.572294], [127.0347203, 37.5728248], [127.034554, 37.5732382], [127.0343924, 37.57366], [127.0343478, 37.5739068], [127.0343661, 37.5753303], [127.0343698, 37.5757645], [127.0343966, 37.5763439]]",True
436761387,3832952922,0,24.560651955081795,primary,청계천로,"[[127.035033, 37.5721111], [127.034992, 37.5720878], [127.0349219, 37.572048], [127.0347969, 37.5719946]]",True
436761387,1936511633,0,121.44896002072896,primary,청계천로,"[[127.035033, 37.5721111], [127.0351887, 37.5721761], [127.0354812, 37.572284], [127.0359816, 37.5724479], [127.0363014, 37.5725346]]",True
436776271,436776273,0,113.43716926549374,tertiary,경희대로,"[[127.0522541, 37.5916104], [127.0525222, 37.5926082]]",True
436776271,3369302134,0,48.44738795127136,residential,경희대로1길,"[[127.0522541, 37.5916104], [127.0517108, 37.5916775]]",True
436776271,436882725,0,54.568335020879026,secondary,회기로,"[[127.0522541, 37.5916104], [127.0520246, 37.5913649], [127.0519254, 37.5913165], [127.05181, 37.5913]]",True
436776271,3365345946,0,31.478513269544493,secondary,회기로,"[[127.0522541, 37.5916104], [127.0524535, 37.5915669], [127.0526003, 37.5915408]]",True
436776273,3369302109,0,32.92919203932643,tertiary,경희대로,"[[127.0525222, 37.5926082], [127.0525935, 37.5928989]]",True
436776273,436776271,0,113.43716926549374,tertiary,경희대로,"[[127.0525222, 37.5926082], [127.0522541, 37.5916104]]",True
436776273,3365345957,0,41.848874443890736,residential,경희대로4길,"[[127.0525222, 37.5926082], [127.0529508, 37.592446]]",True
436776273,3369302115,0,48.632866360769945,residential,경희대로3길,"[[127.0525222, 37.5926082], [127.0519798, 37.5926893]]",True
436776274,3369129930,0,18.471631629776297,tertiary,경희대로,"[[127.0526491, 37.5931834], [127.0526783, 37.5933479]]",True
436776274,3369302109,0,32.01204502117539,tertiary,경희대로,"[[127.0526491, 37.5931834], [127.0525935, 37.5928989]]",True
436776274,3365345930,0,65.40374126242378,residential,회기로21길,"[[127.0526491, 37.5931834], [127.0527809, 37.5930137], [127.0527826, 37.5929176], [127.0528547, 37.5928275], [127.0530507, 37.5927249]]",True
